id	Y1	Y2	Y3	Y4	q	baanduur	SBIgroep	w
113	3	1	1	1	2	1	1	40
114	3	1	1	1	2	2	1	120
115	3	1	1	2	1	1	1	10
116	3	1	1	2	2	2	1	10
117	3	1	1	3	2	2	1	20
118	3	1	2	1	2	1	1	20
119	3	1	2	1	2	2	1	10
120	3	1	2	3	2	2	1	10
121	3	1	3	1	2	1	2	10
122	3	1	3	2	2	1	1	10
123	3	1	3	2	2	1	2	10
124	3	1	3	3	1	1	1	10
125	3	1	3	3	1	2	1	10
126	3	1	3	3	2	1	1	10
127	3	1	3	3	2	2	2	10
128	3	2	1	2	1	2	1	10
129	3	2	1	2	2	2	1	10
130	3	2	2	1	2	1	1	10
131	3	2	2	2	1	1	1	60
132	3	2	2	2	2	1	1	50
133	3	2	2	3	1	1	1	10
134	3	2	3	1	1	1	1	10
135	3	2	3	1	2	1	1	10
136	3	2	3	2	2	1	1	10
137	3	2	3	3	2	1	1	10
138	3	2	3	3	2	1	2	10
139	3	3	1	1	1	1	1	10
140	3	3	1	1	2	1	1	10
141	3	3	1	3	1	1	1	10
142	3	3	1	3	1	2	2	10
143	3	3	1	3	2	2	1	10
144	3	3	2	3	1	1	2	10
145	3	3	2	3	2	1	1	10
146	3	3	2	3	2	1	2	10
147	3	3	3	1	1	2	1	10
148	3	3	3	1	2	1	1	10
149	3	3	3	1	2	1	2	20
150	3	3	3	2	1	1	1	10
151	3	3	3	2	1	1	2	10
152	3	3	3	2	1	2	1	10
153	3	3	3	2	2	1	1	20
154	3	3	3	3	1	1	1	250
155	3	3	3	3	1	1	2	130
156	3	3	3	3	1	2	1	20
157	3	3	3	3	1	2	2	10
158	3	3	3	3	2	1	1	250
159	3	3	3	3	2	1	2	170
160	3	3	3	3	2	2	1	30
161	3	3	3	3	2	2	2	10
